name,label,system_id,description,distance_from_tank,sample_type
CCP_138573658_SRC,Water system 1 – Water source / HP outlet,138573658,Water source critical control point,very_close,source
CCP_138573658_DST,Water system 1 – Distribution tap / outlet,138573658,Distribution point critical control point,close,tap
CCP_138573659_SRC,Water system 2 – Water source / HP outlet,138573659,Water source critical control point,medium,source
CCP_138573659_DST,Water system 2 – Distribution tap / outlet,138573659,Distribution point critical control point,far,tap
CCP_138573660_SRC,Water system 3 – Water source / HP outlet,138573660,Water source critical control point,unknown,source
CCP_138573660_DST,Water system 3 – Distribution tap / outlet,138573660,Distribution point critical control point,very_close,tap
CCP_138573661_SRC,Water system 4 – Water source / HP outlet,138573661,Water source critical control point,close,source
CCP_138573661_DST,Water system 4 – Distribution tap / outlet,138573661,Distribution point critical control point,medium,tap
CCP_138573662_SRC,Water system 5 – Water source / HP outlet,138573662,Water source critical control point,far,source
CCP_138573662_DST,Water system 5 – Distribution tap / outlet,138573662,Distribution point critical control point,unknown,tap
CCP_138573663_SRC,Water system 6 – Water source / HP outlet,138573663,Water source critical control point,very_close,source
CCP_138573663_DST,Water system 6 – Distribution tap / outlet,138573663,Distribution point critical control point,close,tap
CCP_138573664_SRC,Water system 7 – Water source / HP outlet,138573664,Water source critical control point,medium,source
CCP_138573664_DST,Water system 7 – Distribution tap / outlet,138573664,Distribution point critical control point,far,tap
CCP_138573665_SRC,Water system 8 – Water source / HP outlet,138573665,Water source critical control point,unknown,source
CCP_138573665_DST,Water system 8 – Distribution tap / outlet,138573665,Distribution point critical control point,very_close,tap
CCP_138573666_SRC,Water system 9 – Water source / HP outlet,138573666,Water source critical control point,close,source
CCP_138573666_DST,Water system 9 – Distribution tap / outlet,138573666,Distribution point critical control point,medium,tap
CCP_138573667_SRC,Water system 10 – Water source / HP outlet,138573667,Water source critical control point,far,source
CCP_138573667_DST,Water system 10 – Distribution tap / outlet,138573667,Distribution point critical control point,unknown,tap
CCP_138573668_SRC,Water system 11 – Water source / HP outlet,138573668,Water source critical control point,very_close,source
CCP_138573668_DST,Water system 11 – Distribution tap / outlet,138573668,Distribution point critical control point,close,tap
CCP_138573669_SRC,Water system 12 – Water source / HP outlet,138573669,Water source critical control point,medium,source
CCP_138573669_DST,Water system 12 – Distribution tap / outlet,138573669,Distribution point critical control point,far,tap
CCP_138573670_SRC,Water system 13 – Water source / HP outlet,138573670,Water source critical control point,unknown,source
CCP_138573670_DST,Water system 13 – Distribution tap / outlet,138573670,Distribution point critical control point,very_close,tap
CCP_138573671_SRC,Water system 14 – Water source / HP outlet,138573671,Water source critical control point,close,source
CCP_138573671_DST,Water system 14 – Distribution tap / outlet,138573671,Distribution point critical control point,medium,tap
CCP_138573672_SRC,Water system 15 – Water source / HP outlet,138573672,Water source critical control point,far,source
CCP_138573672_DST,Water system 15 – Distribution tap / outlet,138573672,Distribution point critical control point,unknown,tap
CCP_138573673_SRC,Water system 16 – Water source / HP outlet,138573673,Water source critical control point,very_close,source
CCP_138573673_DST,Water system 16 – Distribution tap / outlet,138573673,Distribution point critical control point,close,tap
CCP_138573674_SRC,Water system 17 – Water source / HP outlet,138573674,Water source critical control point,medium,source
CCP_138573674_DST,Water system 17 – Distribution tap / outlet,138573674,Distribution point critical control point,far,tap
CCP_138573675_SRC,Water system 18 – Water source / HP outlet,138573675,Water source critical control point,unknown,source
CCP_138573675_DST,Water system 18 – Distribution tap / outlet,138573675,Distribution point critical control point,very_close,tap
CCP_138573676_SRC,Water system 19 – Water source / HP outlet,138573676,Water source critical control point,close,source
