name,label,description,p3,water_system_type,depth_of_borehole,number_of_users
138573658,Water system 1 – Borehole with hand pump,Borehole with hand pump serving the community,BF130001,borehole_hand_pump,,
138573659,Water system 2 – Solar-powered water system,Solar-powered water system with piped distribution,BF130002,solar_powered_water_system,,
138573660,Water system 3 – Motorized piped network,Motorized piped network with multiple tap stands,BF130003,motorized_piped_network,,
138573661,Water system 4 – SWAT system,Surface water abstraction and treatment system,BF130001,swat_system,,
138573662,Water system 5 – Spring protection,Protected spring with gravity-fed distribution,BF130003,spring_protection,,
138573663,Water system 6 – Water trucking,Water trucking operation,BF130004,water_trucking,,
138573664,Water system 7 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130001,temporary_pumping_system,,
138573665,Water system 8 – Point-of-use water treatment,Point-of-use water treatment programme,BF130001,point_of_use_water_treatment,,
138573666,Water system 9 – Protected open well,Protected open well with hand pump,BF130004,protected_open_well,,
138573667,Water system 10 – Borehole with hand pump,Borehole with hand pump serving the community,BF130003,borehole_hand_pump,,
138573668,Water system 11 – Solar-powered water system,Solar-powered water system with piped distribution,BF130005,solar_powered_water_system,,
138573669,Water system 12 – Motorized piped network,Motorized piped network with multiple tap stands,BF130001,motorized_piped_network,,
138573670,Water system 13 – SWAT system,Surface water abstraction and treatment system,BF130004,swat_system,,
138573671,Water system 14 – Spring protection,Protected spring with gravity-fed distribution,BF130003,spring_protection,,
138573672,Water system 15 – Water trucking,Water trucking operation,BF130002,water_trucking,,
138573673,Water system 16 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130003,temporary_pumping_system,,
138573674,Water system 17 – Point-of-use water treatment,Point-of-use water treatment programme,BF130002,point_of_use_water_treatment,,
138573675,Water system 18 – Protected open well,Protected open well with hand pump,BF130004,protected_open_well,,
138573676,Water system 19 – Borehole with hand pump,Borehole with hand pump serving the community,BF130005,borehole_hand_pump,,
138573677,Water system 20 – Solar-powered water system,Solar-powered water system with piped distribution,BF130001,solar_powered_water_system,,
138573678,Water system 21 – Motorized piped network,Motorized piped network with multiple tap stands,BF130005,motorized_piped_network,,
138573679,Water system 22 – SWAT system,Surface water abstraction and treatment system,BF130001,swat_system,,
138573680,Water system 23 – Spring protection,Protected spring with gravity-fed distribution,BF130001,spring_protection,,
138573681,Water system 24 – Water trucking,Water trucking operation,BF130002,water_trucking,,
138573682,Water system 25 – Temporary pumping system,Temporary pumping system with tank and tap stands,BF130001,temporary_pumping_system,,
138573683,Water system 26 – Point-of-use water treatment,Point-of-use water treatment programme,BF130005,point_of_use_water_treatment,,
